1998	1.9	1.8	1.85
1999	1.9	1.7	1.8
2000	1.3	1.2	1.25
2001	1.9	1.8	1.85
2002	1.7	1.8	1.75
2003	1.5	1.3	1.4
2004	1.5	1.4	1.45
2005	1.7	1.5	1.6
2006	2	1.8	1.9
2007	2.3	2	2.15
2008	2	1.8	1.9
2009	1.7	1.7	1.7
2010	1.8	1.7	1.75
2011	1.5	1.4	1.45
2012	1.7	1.7	1.7
2013	1.8	1.7	1.75
2014	1.7	1.6	1.65
2015	1.6	1.5	1.55
2016	1.7	1.5	1.6
2017	1.9	1.6	1.75
